"","precinct","precinctCode"
"75",1,550001
"73",2,550002
"70",3,550003
"198",4,550004
"74",5,550005
"69",7,550007
"207",9,550009
"200",10,550010
"82",11,550011
"81",12,550012
"83",13,550013
"79",14,550014
"80",15,550015
"77",16,550016
"78",17,550017
"205",20,550020
"130",21,550021
"126",22,550022
"209",24,550024
"3",25,550025
"192",30,550030
"2",31,550031
"54",33,550033
"180",35,550035
"160",36,550036
"202",37,550037
"196",40,550040
"210",41,550041
"208",43,550043
"159",50,550050
"139",51,550051
"162",52,550052
"212",54,550054
"211",60,550060
"199",61,550061
"138",62,550062
"185",63,550063
"186",64,550064
"191",65,550065
"52",66,550066
"128",67,550067
"197",69,550069
"127",71,550071
"1",72,550072
"60",73,550073
"4",74,550074
"62",75,550075
"61",76,550076
"58",77,550077
"63",78,550078
"201",80,550080
"56",84,550084
"213",86,550086
"204",87,550087
"206",88,550088
"214",89,550089
"203",90,550090
"65",98,550098
"166",99,550099
"136",100,550100
"175",102,550102
"193",103,550103
"132",104,550104
"135",106,550106
"67",107,550107
"66",108,550108
"59",109,550109
"183",110,550110
"161",111,550111
"182",112,550112
"46",113,550113
"47",114,550114
"48",115,550115
"36",116,550116
"45",117,550117
"195",118,550118
"34",119,550119
"33",120,550120
"181",121,550121
"179",122,550122
"141",123,550123
"178",124,550124
"142",125,550125
"143",126,550126
"158",127,550127
"157",128,550128
"156",129,550129
"154",130,550130
"155",131,550131
"134",132,550132
"140",133,550133
"174",134,550134
"153",135,550135
"133",136,550136
"137",137,550137
"194",138,550138
"152",139,550139
"151",140,550140
"144",141,550141
"168",142,550142
"170",143,550143
"173",144,550144
"176",145,550145
"177",146,550146
"172",147,550147
"171",148,550148
"169",149,550149
"147",150,550150
"145",151,550151
"146",152,550152
"148",153,550153
"167",154,550154
"164",155,550155
"163",156,550156
"184",157,550157
"150",158,550158
"149",159,550159
"68",160,550160
"76",161,550161
"72",162,550162
"71",163,550163
"86",164,550164
"88",165,550165
"87",166,550166
"89",167,550167
"85",168,550168
"14",169,550169
"16",170,550170
"15",171,550171
"13",172,550172
"12",173,550173
"11",174,550174
"9",175,550175
"10",176,550176
"5",177,550177
"6",178,550178
"84",179,550179
"165",180,550180
"7",181,550181
"8",182,550182
"17",183,550183
"18",184,550184
"19",185,550185
"20",186,550186
"21",187,550187
"187",188,550188
"188",189,550189
"25",190,550190
"23",191,550191
"22",192,550192
"24",193,550193
"27",194,550194
"26",195,550195
"29",196,550196
"28",197,550197
"38",198,550198
"37",199,550199
"39",200,550200
"30",201,550201
"31",202,550202
"32",203,550203
"40",204,550204
"190",205,550205
"189",206,550206
"94",207,550207
"91",208,550208
"90",209,550209
"97",210,550210
"95",211,550211
"96",212,550212
"114",213,550213
"112",214,550214
"115",215,550215
"113",216,550216
"116",217,550217
"111",218,550218
"110",219,550219
"109",220,550220
"108",221,550221
"103",222,550222
"100",223,550223
"99",224,550224
"98",225,550225
"101",226,550226
"131",227,550227
"102",228,550228
"104",229,550229
"105",230,550230
"106",231,550231
"107",232,550232
"118",233,550233
"117",234,550234
"92",235,550235
"64",236,550236
"93",237,550237
"43",238,550238
"55",239,550239
"50",240,550240
"41",241,550241
"42",242,550242
"49",243,550243
"53",244,550244
"51",245,550245
"44",246,550246
"119",247,550247
"120",248,550248
"121",249,550249
"122",250,550250
"123",251,550251
"124",252,550252
"125",253,550253
"129",254,550254
"57",255,550255
"35",257,550257
"215",302,550302
"219",303,550303
"218",308,550308
"220",309,550309
"222",398,550398
"221",399,550399
"216",503,550503
"217",506,550506
